powertrain,travel_x_m,travel_z_m,final_speed_mps,mean_speed_mps,max_speed_mps,max_engine_rpm,mean_driveshaft_torque_Nm,max_abs_slip_RR_est,gear_changes,fixed_throttle,terrain_friction
SimpleMap,100.11969365124001,1.01866031766174,21.121626626601604,12.501549180799111,21.121626626601604,2498.7991880429354,702.3333107023354,153.20727831836504,10,0.45,0.9
Shafts,55.8945847195811,-0.05960831565088513,12.478604214954768,6.979734758731935,12.478604214954768,2543.6221732008676,433.4393043625429,25.451146005762812,2,0.45,0.9
SimpleCVT,87.50974939400088,-0.9196590616169409,18.048646929039894,10.927076718006255,18.048646929039894,1476.2259683557152,605.1358653957539,130.0369177517112,0,0.45,0.9
SimpleEngine,54.06810470792677,-0.17167584541638556,11.049036714376674,6.750107012690925,11.05000711274185,2271.267860458999,384.93018912296463,87.32250880229843,11,0.45,0.9
