case_name,powertrain,engine_enum,transmission_enum,time,x,y,z,vx,vy,vz,speed,acceleration,roll,pitch,yaw,steering,throttle,braking,engine_speed_rad_s,engine_rpm,engine_torque_Nm,engine_reaction_torque_Nm,gear,driveshaft_torque_Nm,motorshaft_speed_rad_s,transmission_reaction_torque_Nm,is_automatic,has_torque_converter,tc_slippage,tc_input_torque_Nm,tc_output_torque_Nm,tc_output_speed_rad_s,omega_FL_rad_s,omega_FR_rad_s,omega_RL_rad_s,omega_RR_rad_s,slip_FL_est,slip_FR_est,slip_RL_est,slip_RR_est
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.0,0.056,1.413,4.729550084903167e-17,0.0,0.0,0.0,0.0,0.0,-1.5707963267948963,0.0,0.0,0.0,0.45,0.0,0.0,0.0,187.35277777777776,0.0,1.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.005,0.056016454828774424,1.4127447128849817,-5.719860702297036e-09,0.0032909657548848975,-0.05105742300364732,-1.1439721499185073e-06,-0.0067477926873188735,-1.3495585374637746,-1.5707971171757649,-2.1787425920949085e-09,-0.00023593437915152475,0.0,0.45,0.0,0.0,0.0,187.35277777777776,0.0,1.0,1096.9132188394483,0.6766810038490655,0.0,1,0,0.0,0.0,0.0,0.0,-0.024039997518648493,-0.024039997518648548,-0.024039997518647882,-0.024039997518647882,-0.04548602146694052,-0.04548602146694078,-0.04548602146693766,-0.04548602146693766
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.01,0.056024757957040434,1.4121961781693257,-3.173252923665128e-08,0.0016606256532017052,-0.10970694313120789,-5.202533706870848e-06,-0.0023977398887681384,0.8700105597101471,-1.5707971348979766,-3.994802219672837e-09,-0.00033205631184136453,0.0,0.45,0.0,0.6766810038490655,6.4618275995378776,187.63307684396767,0.0,1.0,1096.9132188394483,0.27586533856178386,0.0,1,0,0.0,0.0,0.0,0.0,-0.009800598837293506,-0.00980059883403911,-0.009800601950335663,-0.00980060194993193,-0.022075615048760794,-0.02207561503346839,-0.022075629676945898,-0.022075629675048752
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.015,0.056036188232070745,1.4114486119005087,-1.2128464873964763e-07,0.0022860550060616685,-0.14951325376340555,-1.791042390059927e-05,-0.004201024568924417,-0.36065693603125587,-1.570809951009648,-3.1496802745670556e-08,-0.000486041027067364,0.0,0.45,0.0,0.27586533856178386,2.6343199355896294,187.4670484553248,0.0,1.0,1098.554314074752,10.479028429130011,0.0,1,0,0.0,0.0,0.0,0.0,-0.3882492889510818,-0.3882492890491358,-0.3882492917648719,-0.3882492917617375,-1.7823731630918893,-1.7823731635526447,-1.7823731763138888,-1.7823731762991604
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.02,0.05604382306892945,1.4104225028947044,-6.860742838249131e-07,0.0015269673717413902,-0.20522180116087674,-0.00011295792701705308,-0.0015951604728321718,0.521172819218449,-1.5708297519963785,-1.1136888474891078e-07,-0.0005620379742726854,0.0,0.45,0.0,10.479028429130011,100.06735039779242,191.69346691572485,0.0,1.0,1097.5822509093957,21.620528005039283,0.0,1,0,0.0,0.0,0.0,0.0,-0.7529637102085287,-0.7529637109301301,-0.7529637087277772,-0.7529637081055958,-3.522224869541555,-3.52222487293236,-3.5222248625835033,-3.5222248596598726
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.025,0.056052463923718314,1.4091756756863096,-1.476168094389348e-06,0.0017281709577719876,-0.24936544167893324,-0.00015801876211288702,-0.0020805079306766014,-0.0970694915688859,-1.5708601521895325,-1.6657786927093998e-07,-0.0006552793449973533,0.0,0.45,0.0,21.620528005039283,206.4608342555254,196.3085690233929,0.0,1.0,1122.32708967052,32.50706061440011,0.0,1,0,0.0,0.0,0.0,0.0,-1.1278731486394085,-1.127873150473972,-1.1278731506935076,-1.1278731488267617,-5.279070846149813,-5.279070854770429,-5.279070855802026,-5.279070847030187
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.030000000000000002,0.056058771413876614,1.407667029734807,-2.6544542118009253e-06,0.0012614980316594275,-0.30172919030049794,-0.00023565722348231545,-0.00039672266376982433,0.33675705338135536,-1.5708987585721128,-2.592948130592946e-07,-0.0006991567153361446,0.0,0.45,0.0,32.50706061440011,310.41956293017853,200.81805710875753,0.0,1.0,1149.3475938137756,43.573748176108076,0.0,1,0,0.0,0.0,0.0,0.0,-1.4957100657017524,-1.4957100687042848,-1.4957100625131199,-1.4957100605639972,-7.024374372094836,-7.024374386203736,-7.024374357111452,-7.024374347952525
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.035,0.05606511213053548,1.405925682790407,-4.111924359634421e-06,0.0012681433317732935,-0.34826938888002146,-0.00029149402956669924,-0.00023952780943340267,0.031438970867284324,-1.5709474526436271,-3.4866836837516023e-07,-0.0007406027118951207,0.0,0.45,0.0,43.573748176108076,416.0986446761435,205.40217011284335,0.0,1.0,1175.7497488803133,54.75297292037136,0.0,1,0,0.0,0.0,0.0,0.0,-1.8767038961308025,-1.87670390109973,-1.876703898101292,-1.8767038935767655,-8.816236329824306,-8.816236353173297,-8.816236339083638,-8.816236317822886
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.04,0.05606981795079365,1.4039311309725337,-5.931311406276965e-06,0.0009411640516353568,-0.398910363574636,-0.0003638774093285088,0.0010015541850264412,0.2482163988919689,-1.5710053549210528,-4.6550089609012743e-07,-0.0007461722982315223,0.0,0.45,0.0,54.75297292037136,522.8523773552274,210.03289897728646,0.0,1.0,1202.5888179908861,66.29656900211316,0.0,1,0,0.0,0.0,0.0,0.0,-2.263487907187759,-2.2634879138629893,-2.263487906034822,-2.2634879018714997,-10.646145217725543,-10.646145249092449,-10.646145212307891,-10.64614519274444
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.045,0.05607407399961486,1.401697883586756,-8.068862256354871e-06,0.0008512097642416319,-0.446649477155537,-0.0004275101700155814,0.0014784466676184343,0.09537849651839866,-1.5710734350586135,-5.880385834330813e-07,-0.0007391986834551189,0.0,0.45,0.0,66.29656900211316,633.0856000031539,214.814560031433,0.0,1.0,1229.700813684347,78.03640586474127,0.0,1,0,0.0,0.0,0.0,0.0,-2.661605741592872,-2.6616057509255144,-2.661605745646206,-2.661605738261132,-12.52166984642109,-12.521669890275177,-12.521669865467706,-12.521669830765244
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.049999999999999996,0.05607704563316228,1.3992157257057065,-1.0565008211929363e-05,0.0005943267094846478,-0.4964315762099052,-0.0004992291911148983,0.0024905006137518866,0.20241078922669056,-1.5711514188648938,-7.289136781526565e-07,-0.0007028783688759694,0.0,0.45,0.0,78.03640586474127,745.1927840699367,219.67750917748387,0.0,1.0,1257.6964873034717,90.09135099325806,0.0,1,0,0.0,0.0,0.0,0.0,-3.067137376798172,-3.0671373883938333,-3.067137379747967,-3.067137372706963,-14.43738353971213,-14.43738359420014,-14.437383553573214,-14.437383520487536
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.05499999999999999,0.05607932614347809,1.3964918959130783,-1.3404330515182605e-05,0.00045610206316202114,-0.544765958525622,-0.0005678644606506482,0.0031158059554030303,0.1250610683302288,-1.5712398766436029,-8.768120775108081e-07,-0.000648739970802528,0.0,0.45,0.0,90.09135099325806,860.3090304242374,277.43041220191355,0.0,1.0,1286.1680865192263,102.38332359143291,0.0,1,0,0.0,0.0,0.0,0.0,-3.483046445821417,-3.4830464605891756,-3.483046453578428,-3.483046443257857,-16.397993308468866,-16.397993377862566,-16.397993344919062,-16.397993296422698
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.05999999999999999,0.05608049767633519,1.3935213053447968,-1.660869216167551e-05,0.00023430657141993943,-0.594118113656297,-0.0006408723292985813,0.004000308451611285,0.17690049924165102,-1.571338818362426,-1.0333678487625918e-06,-0.0005682612858589955,0.0,0.45,0.0,102.38332359143291,977.6887223852167,385.2111278145864,0.0,1.0,1624.2998372477373,114.97821637159184,0.0,1,0,0.0,0.0,0.0,0.0,-3.907603596435907,-3.9076036139871526,-3.9076036046294345,-3.907603594380685,-18.40183238416844,-18.401832466641743,-18.401832422669823,-18.40183237451095
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.06499999999999999,0.056080854620008926,1.3903075660235313,-2.0175781024292582e-05,7.138873474659057e-05,-0.6427478642531007,-0.0007134177725234145,0.004682902930416171,0.1365188957609773,-1.5714486408163548,-1.1910134453385015e-06,-0.0004670565858550987,0.0,0.45,0.0,114.97821637159184,1097.9610890056997,466.968157272843,0.0,1.0,2255.334471982356,127.84056347291146,0.0,1,0,0.0,0.0,0.0,0.0,-4.342399750510461,-4.342399771616725,-4.342399763114415,-4.342399749875643,-20.451765456952813,-20.451765556131146,-20.451765516178792,-20.451765453969806
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,0.06999999999999999,0.05607992715102425,1.3868481213503754,-2.414560274389064e-05,-0.00018549379693524567,-0.691888934631173,-0.000793964343919612,0.005688634964015845,0.2011464067199346,-1.5715729189657468,-1.3459802205688755e-06,-0.0003346004919904606,0.0,0.45,0.0,127.84056347291146,1220.7874562620234,534.7182896904151,0.0,1.0,2734.0056046419377,144.09938852087498,0.0,1,0,0.0,0.0,0.0,0.0,-4.890971597819705,-4.8909716224332165,-4.890971612018344,-4.890971598852717,-23.03956188779495,-23.03956200345384,-23.03956195451435,-23.039561892649076
