case_name,powertrain,engine_enum,transmission_enum,time,x,y,z,vx,vy,vz,speed,acceleration,roll,pitch,yaw,steering,throttle,braking,engine_speed_rad_s,engine_rpm,engine_torque_Nm,engine_reaction_torque_Nm,gear,driveshaft_torque_Nm,motorshaft_speed_rad_s,transmission_reaction_torque_Nm,is_automatic,has_torque_converter,tc_slippage,tc_input_torque_Nm,tc_output_torque_Nm,tc_output_speed_rad_s,omega_FL_rad_s,omega_FR_rad_s,omega_RL_rad_s,omega_RR_rad_s,slip_FL_est,slip_FR_est,slip_RL_est,slip_RR_est
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.634999999999881,72.85236442598422,0.6321035710020642,0.8044451639934437,18.847102466676784,-0.00011621416236958079,0.15742878814797687,18.844347291407665,1.0277080753688714,-1.571608355518944,-0.00847992425725721,-0.018480876113409872,0.0,0.45,0.0,201.75309500896086,1926.6001412858952,500.805131559615,0.0,5.0,492.8768657421947,202.11470017353665,0.0,1,0,0.0,0.0,0.0,0.0,-41.86043792671145,-40.24060318016253,-42.25639966227152,-40.1345561890926,-2.0438260066842755,-2.003434034724048,-2.0536996529646387,-2.000789661834227
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.639999999999881,72.94663755668775,0.6321028713154195,0.8052333893024729,18.85462614070518,-0.000139937328931765,0.15764506180585539,18.851869864416383,1.504514601743555,-1.571614532083582,-0.008340441805594316,-0.018485605327661907,0.0,0.45,0.0,202.11470017353665,1930.053216249283,500.00471065483396,0.0,5.0,492.28853982071655,202.30778624500914,0.0,1,0,0.0,0.0,0.0,0.0,-42.577373333098784,-39.57495236830551,-43.2991936974675,-39.197539238145815,-2.061279749601247,-1.9864416766937225,-2.079271778596582,-1.9770343112102173
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.644999999999881,73.04096617694455,0.632102243369736,0.8060230413774987,18.86572405136186,-0.000125589136714089,0.15793041500516747,18.863119860225567,2.2499991618368167,-1.5716214174430574,-0.008188898190980622,-0.018486754590280312,0.0,0.45,0.0,202.30778624500914,1931.8970524123054,499.5773104316929,0.0,5.0,491.50173071349053,202.22999607276785,0.0,1,0,0.0,0.0,0.0,0.0,-42.69745384031418,-39.462796102432385,-43.44621784580086,-38.97595222576545,-2.063638131350119,-1.9830594316284662,-2.082290624086492,-1.9709316426232033
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.6499999999998805,73.13535258560196,0.6321023319415849,0.806812917262006,18.87728173148144,1.7714369801052248e-05,0.1579751769014657,18.874761438850133,2.32831572491326,-1.5716249248218437,-0.008083926936735682,-0.01848578467065442,0.0,0.45,0.0,202.22999607276785,1931.1542109861352,499.74950067162354,0.0,5.0,491.0815987729213,202.11955396522532,0.0,1,0,0.0,0.0,0.0,0.0,-42.17601758278328,-39.96717414042974,-42.69101436502455,-39.65756299563927,-2.0500005908078496,-1.9950099337378469,-2.0628217853304505,-1.9873019540948516
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.65499999999988,73.22978151678485,0.6321021399984774,0.8076030625409073,18.88578623657872,-3.838862149358976e-05,0.15802905578026236,18.883159922043063,1.6796966385861725,-1.5716228730786408,-0.008060653810125782,-0.01848721522759617,0.0,0.45,0.0,202.11955396522532,1930.0995665456824,499.9939666812526,0.0,5.0,491.2508607801273,202.24048309121815,0.0,1,0,0.0,0.0,0.0,0.0,-41.291891290395824,-40.89664840504649,-41.48913728614907,-40.91486528210898,-2.0275324573567284,-2.017696993769469,-2.0324408463015393,-2.018150313582837
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.65999999999988,73.32424705567331,0.6321016036800399,0.8083929450988693,18.893107777690844,-0.0001072636875077877,0.1579765115923956,18.89042961213321,1.4539380180295636,-1.5716163864720585,-0.008124974867910277,-0.018489762581576617,0.0,0.45,0.0,202.24048309121815,1931.2543546356148,499.7262874279567,0.0,5.0,491.49116944977146,202.4486385925106,0.0,1,0,0.0,0.0,0.0,0.0,-40.353544313439315,-41.89616111684314,-40.233507106012596,-42.28079752248402,-2.0037956183222994,-2.042168257314791,-2.000809689207507,-2.0517360993767078
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.66499999999988,73.41875789777885,0.6321009533735921,0.8091817097281768,18.902168421107,-0.00013006128956511679,0.15775292586150363,18.8995553781814,1.8251532096379142,-1.5716080879762493,-0.008254041150859972,-0.018490654410375916,0.0,0.45,0.0,202.4486385925106,1933.2420932533628,499.2655306938125,0.0,5.0,491.2280422962319,202.52550159866686,0.0,1,0,0.0,0.0,0.0,0.0,-39.66373433326415,-42.60619035634174,-39.2672742805691,-43.2880130573913,-1.9861601709803958,-2.059318510294577,-1.9763029772510408,-2.0762706809045297
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.66999999999988,73.51332543962481,0.6321002992026447,0.8099691085542577,18.91350836919348,-0.00013083418948663407,0.1574797652161893,18.911055442430722,2.300012849864479,-1.5716012826530852,-0.008396632041500719,-0.01848769481262824,0.0,0.45,0.0,202.52550159866686,1933.976080895603,499.0953927561977,0.0,5.0,490.77512109880314,202.42885297565815,0.0,1,0,0.0,0.0,0.0,0.0,-39.52688193185385,-42.74684494241223,-39.018504585582015,-43.45147227687638,-1.9821599791889122,-2.062169295605305,-1.9695278701170333,-2.079677804608023
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.67499999999988,73.6079449897342,0.6321003524051498,0.8107563381399358,18.923910021877127,1.0640501027852365e-05,0.15744591713560327,18.921477363085337,2.0843841309230005,-1.5715988469909805,-0.00849463451054166,-0.01848420079187141,0.0,0.45,0.0,202.42885297565815,1933.0531545299114,499.30932658749464,0.0,5.0,490.607876492871,202.4031867975703,0.0,1,0,0.0,0.0,0.0,0.0,-40.01737205663032,-42.26173695472369,-39.69998159868516,-42.74239796793128,-1.9937999432378561,-2.049536979272452,-1.985917800986142,-2.0614738172778653
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.67999999999988,73.70259790658248,0.6321000387758707,0.8115431943884057,18.930583369656993,-6.272585581208485e-05,0.15737124969398536,18.92797033757545,1.298594898022315,-1.5716002935021736,-0.008511823855346344,-0.018484982668162234,0.0,0.45,0.0,202.4031867975703,1932.8080605831337,499.3661392315051,0.0,5.0,490.8181722082912,202.658574406366,0.0,1,0,0.0,0.0,0.0,0.0,-40.95268766030713,-41.410210762477995,-40.98429409355136,-41.585076881531094,-2.0166788931075272,-2.028037221648612,-2.0174635447482783,-2.0323783944145024
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.68499999999988,73.79727748832863,0.632099512206156,0.8123301991379983,18.93591634923117,-0.00010531394294228252,0.15740094991851333,18.933149502125435,1.0358329099972472,-1.571604415922568,-0.008441450108755771,-0.01848941308754707,0.0,0.45,0.0,202.658574406366,1935.2468326037892,498.80083319904855,0.0,5.0,490.8740187078591,203.0146277979287,0.0,1,0,0.0,0.0,0.0,0.0,-41.97255492182373,-40.49456193211499,-42.39179292060253,-40.364844006869546,-2.0417127670993604,-2.0050306025294264,-2.0521177943033155,-2.001811145932097
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.68999999999988,73.89199379498635,0.6320988157012728,0.8131182202105046,18.943261331542033,-0.00013930097664790054,0.15760421450125184,18.940485986547568,1.4672968844266479,-1.5716107184466046,-0.008305376398140813,-0.018494080878093285,0.0,0.45,0.0,203.0146277979287,1938.6468920400994,498.0127012647072,0.0,5.0,490.31832615654037,203.21704983168914,0.0,1,0,0.0,0.0,0.0,0.0,-42.71039760577237,-39.81327360297315,-43.44268466744951,-39.42257283516459,-2.0596146186115196,-1.9877390305256464,-2.0777821403174825,-1.9780460220715
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.6949999999998795,73.9867643625424,0.6320982647169053,0.8139077758387541,18.95411351121186,-0.00011019687349160805,0.1579111256498966,18.951475916925826,2.197986075651717,-1.5716176965561155,-0.008155056830433901,-0.01849550383275979,0.0,0.45,0.0,203.21704983168914,1940.5798800759208,497.564635685776,0.0,5.0,489.5435970359846,203.15525642145155,0.0,1,0,0.0,0.0,0.0,0.0,-42.87598523261107,-39.66186639564272,-43.6210935532122,-39.17685615331664,-2.063105878883554,-1.9834121152889974,-2.081580767139501,-1.9713863335573762
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.699999999999879,74.08159265379331,0.632098492365255,0.8146972860395708,18.965658250180514,4.552966991442438e-05,0.15790204016335693,18.96312283074737,2.329382764308768,-1.5716215429650455,-0.008047938347756632,-0.01849436738023267,0.0,0.45,0.0,203.15525642145155,1939.9897964745317,497.7014167447244,0.0,5.0,489.10315117052585,203.0425279632573,0.0,1,0,0.0,0.0,0.0,0.0,-42.398894945413204,-40.12033802147741,-42.896749787415615,-39.826553211728466,-2.050630790754861,-1.994168893201712,-2.0629674713925885,-1.9868890014173701
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.704999999999879,74.17646405105937,0.6320983778657678,0.8154870706230897,18.974279453212283,-2.2899897412198642e-05,0.1579569167037688,18.97163392507031,1.702218864588226,-1.5716194883144459,-0.008020712762619422,-0.018495734087175763,0.0,0.45,0.0,203.0425279632573,1938.9133189936072,497.9509436413003,0.0,5.0,489.2376061581877,203.15208892536887,0.0,1,0,0.0,0.0,0.0,0.0,-41.54224378003591,-41.016789379157146,-41.71290159261769,-41.0608947707887,-2.028941441171442,-2.0159266937886855,-2.033168388963546,-2.0170191207040227
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.709999999999879,74.27137212496595,0.6320978722289927,0.816276595278653,18.981614781316466,-0.00010112735503189029,0.15790493111267778,18.978923339788633,1.4578829436644325,-1.5716133315668925,-0.008080013334518701,-0.018498084480308426,0.0,0.45,0.0,203.15208892536887,1939.9595491150046,497.7084280662672,0.0,5.0,489.4828896503492,203.35357811789325,0.0,1,0,0.0,0.0,0.0,0.0,-40.61097835837354,-42.00839245873803,-40.46478155153713,-42.417144247033356,-2.0054890042467632,-2.0400876415880416,-2.0018693110585617,-2.0502079451416844
powertrain_simple_map,SimpleMap,EngineModelType_SIMPLE_MAP,TransmissionModelType_AUTOMATIC_SIMPLE_MAP,6.714999999999879,74.36632482395547,0.6320972504909433,0.8170650569464982,18.990539797904084,-0.00012434760987668184,0.15769233356903295,18.98789678619316,1.7946892809057529,-1.5716046757953444,-0.008205494524533221,-0.018499171825299355,0.0,0.45,0.0,203.35357811789325,1941.8836291731955,497.2624273517221,0.0,5.0,489.2444982466009,203.43936154119967,0.0,1,0,0.0,0.0,0.0,0.0,-39.90565538164145,-42.73780786455382,-39.4932846671545,-43.432094315349396,-1.9875589526833948,-2.057647202409305,-1.9773538730519151,-2.0748289475442414
