time_s,x_m,y_m,z_m,speed_mps,source
2.060,0.67800,0.00000,-20.56694,20.25037,pychrono
2.080,0.70400,0.00000,-20.97504,20.44617,pychrono
2.100,0.73000,0.00000,-21.38706,20.64198,pychrono
2.120,0.75600,0.00000,-21.80300,20.83779,pychrono
2.140,0.78200,0.00000,-22.22287,21.03361,pychrono
2.160,0.80800,0.00000,-22.64666,21.22944,pychrono
2.180,0.83400,0.00000,-23.07438,21.42528,pychrono
2.200,0.86000,0.00000,-23.50602,21.62112,pychrono
2.220,0.88600,0.00000,-23.94158,21.81697,pychrono
2.240,0.91200,0.00000,-24.38107,22.01282,pychrono
2.260,0.93800,0.00000,-24.82448,22.20868,pychrono
2.280,0.96400,0.00000,-25.27182,22.40455,pychrono
2.300,0.99000,0.00000,-25.72308,22.60042,pychrono
2.320,1.01600,0.00000,-26.17826,22.79630,pychrono
2.340,1.04200,0.00000,-26.63737,22.99218,pychrono
2.360,1.06800,0.00000,-27.10040,23.18807,pychrono
2.380,1.09400,0.00000,-27.56736,23.38396,pychrono
2.400,1.12000,0.00000,-28.03824,23.57986,pychrono
