time_s,throttle,brake,steering,drive_torque_Nm,source
2.180,0.20087,0.00000,0.02505,24.10480,pychrono
2.200,0.20203,0.00000,0.01724,24.24394,pychrono
2.220,0.20367,0.00000,0.00940,24.44067,pychrono
2.240,0.20579,0.00000,0.00157,24.69462,pychrono
2.260,0.20838,0.00000,-0.00627,25.00530,pychrono
2.280,0.21143,0.00000,-0.01411,25.37211,pychrono
2.300,0.21495,0.00000,-0.02193,25.79432,pychrono
2.320,0.21893,0.00000,-0.02974,26.27114,pychrono
2.340,0.22335,0.00000,-0.03752,26.80163,pychrono
2.360,0.22821,0.00000,-0.04527,27.38477,pychrono
2.380,0.23350,0.00000,-0.05299,28.01942,pychrono
2.400,0.23920,0.00000,-0.06067,28.70437,pychrono
2.420,0.24532,0.00000,-0.06830,29.43828,pychrono
2.440,0.25183,0.00000,-0.07587,30.21973,pychrono
2.460,0.25873,0.00000,-0.08339,31.04722,pychrono
2.480,0.26599,0.00000,-0.09084,31.91913,pychrono
2.500,0.27361,0.00000,-0.09822,32.83379,pychrono
2.520,0.28158,0.00000,-0.10552,33.78942,pychrono
2.540,0.28987,0.00000,-0.11274,34.78417,pychrono
2.560,0.29847,0.00000,-0.11987,35.81611,pychrono
2.580,0.30736,0.00000,-0.12691,36.88326,pychrono
2.600,0.31653,0.00000,-0.13385,37.98353,pychrono
2.620,0.32596,0.00000,-0.14068,39.11481,pychrono
2.640,0.33562,0.00000,-0.14740,40.27490,pychrono
2.660,0.34551,0.00000,-0.15401,41.46156,pychrono
2.680,0.35560,0.00000,-0.16050,42.67249,pychrono
2.700,0.36588,0.00000,-0.16686,43.90535,pychrono
2.720,0.37631,0.00000,-0.17309,45.15775,pychrono
2.740,0.38689,0.00000,-0.17918,46.42726,pychrono
2.760,0.39760,0.00000,-0.18513,47.71143,pychrono
2.780,0.40840,0.00000,-0.19094,49.00777,pychrono
2.800,0.41928,0.00000,-0.19660,50.31378,pychrono
2.820,0.43022,0.00000,-0.20211,51.62692,pychrono
2.840,0.44121,0.00000,-0.20745,52.94466,pychrono
2.860,0.45220,0.00000,-0.21264,54.26444,pychrono
2.880,0.46320,0.00000,-0.21765,55.58370,pychrono
2.900,0.47417,0.00000,-0.22250,56.89991,pychrono
2.920,0.48509,0.00000,-0.22717,58.21049,pychrono
2.940,0.49594,0.00000,-0.23166,59.51293,pychrono
2.960,0.50671,0.00000,-0.23598,60.80470,pychrono
2.980,0.51736,0.00000,-0.24010,62.08329,pychrono
