x_m,y_m,height_m,estimated_friction,scm_sinkage_demo_m,source
-2.800,0.300,0.08645,0.5582,0.00031,pychrono
-2.800,0.400,0.08022,0.5627,0.00025,pychrono
-2.800,0.500,0.07242,0.5683,0.00019,pychrono
-2.800,0.600,0.06320,0.5749,0.00014,pychrono
-2.800,0.700,0.05274,0.5823,0.00010,pychrono
-2.800,0.800,0.04125,0.5905,0.00006,pychrono
-2.800,0.900,0.02896,0.5993,0.00004,pychrono
-2.800,1.000,0.01609,0.6085,0.00002,pychrono
-2.800,1.100,0.00292,0.6179,0.00001,pychrono
-2.800,1.200,-0.01032,0.6126,0.00001,pychrono
-2.800,1.300,-0.02335,0.6033,0.00000,pychrono
-2.800,1.400,-0.03593,0.5943,0.00000,pychrono
-2.800,1.500,-0.04780,0.5859,0.00000,pychrono
-2.800,1.600,-0.05874,0.5780,0.00000,pychrono
-2.800,1.700,-0.06852,0.5711,0.00000,pychrono
-2.800,1.800,-0.07697,0.5650,0.00000,pychrono
-2.800,1.900,-0.08391,0.5601,0.00000,pychrono
-2.800,2.000,-0.08921,0.5563,0.00000,pychrono
-2.700,-2.000,-0.09320,0.5534,0.00000,pychrono
-2.700,-1.900,-0.08766,0.5574,0.00000,pychrono
-2.700,-1.800,-0.08041,0.5626,0.00000,pychrono
-2.700,-1.700,-0.07159,0.5689,0.00000,pychrono
-2.700,-1.600,-0.06136,0.5762,0.00000,pychrono
-2.700,-1.500,-0.04994,0.5843,0.00000,pychrono
-2.700,-1.400,-0.03753,0.5932,0.00000,pychrono
-2.700,-1.300,-0.02440,0.6026,0.00000,pychrono
-2.700,-1.200,-0.01078,0.6123,0.00001,pychrono
-2.700,-1.100,0.00305,0.6178,0.00002,pychrono
-2.700,-1.000,0.01681,0.6080,0.00003,pychrono
-2.700,-0.900,0.03025,0.5984,0.00006,pychrono
-2.700,-0.800,0.04309,0.5892,0.00009,pychrono
-2.700,-0.700,0.05510,0.5806,0.00014,pychrono
-2.700,-0.600,0.06602,0.5728,0.00021,pychrono
-2.700,-0.500,0.07565,0.5660,0.00029,pychrono
-2.700,-0.400,0.08380,0.5601,0.00037,pychrono
-2.700,-0.300,0.09032,0.5555,0.00045,pychrono
-2.700,-0.200,0.09506,0.5521,0.00052,pychrono
-2.700,-0.100,0.09794,0.5500,0.00057,pychrono
-2.700,0.000,0.09891,0.5493,0.00059,pychrono
-2.700,0.100,0.09794,0.5500,0.00057,pychrono
-2.700,0.200,0.09506,0.5521,0.00052,pychrono
