time,x,y,z,roll_deg,pitch_deg,yaw_deg,target_x,target_y,speed_cmd,steering_cmd,turn_mode,wheel_omega,steer_left_deg,steer_right_deg
6.900499999998895,4.979664067352422,-0.003890051273363769,0.03999702903069183,-0.00022763156112124948,-5.49748458920723e-05,-0.042985664112643034,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
6.9504999999988675,5.024693215055995,-0.003922436419893411,0.03999673015674551,-6.743999414493805e-05,0.0001888807168521785,-0.04258403237177834,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.00049999999884,5.069725377644065,-0.003954254802129676,0.03999630149511161,-0.0001814236050722829,5.9479711622467534e-05,-0.042522410050408424,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.050499999998812,5.1147615943505285,-0.0039940877832400365,0.039995382018948374,2.2918070557907386e-05,-0.00012804300579157552,-0.042613527373908604,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.100499999998784,5.159797458170627,-0.004030954865281086,0.03999651599107902,-1.3988984249223253e-05,-8.921749438411224e-05,-0.04309881182785528,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.150499999998757,5.204827192726299,-0.004066949631133257,0.03999628816295049,-6.436039563130255e-05,-4.70226894050862e-05,-0.043118200872406746,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.200499999998729,5.249861236350064,-0.004096471158662879,0.03999666481516598,-0.00026018698450210384,8.56759782292628e-05,-0.0432722867683777,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.250499999998701,5.294893155380607,-0.0041340931161944205,0.03999835983275469,-0.00014971190712498729,0.00016061070225030033,-0.04346550096657124,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.3004999999986735,5.339920288154722,-0.004164657437698994,0.03999695348660043,-0.00017983594226561145,-2.1128823937229064e-05,-0.04351599012810323,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.350499999998646,5.3849544378504675,-0.004202325243807563,0.03999768080936975,-2.8301508327811883e-05,6.497951786660115e-05,-0.04404031661768309,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.400499999998618,5.429986942211643,-0.004239934512263472,0.039996547124690356,6.935779689145367e-05,-8.502551022959372e-05,-0.04425303282502492,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.45049999999859,5.475019750252458,-0.0042760125005760026,0.03999786178885793,-2.3764996955211333e-05,8.455927974318599e-05,-0.04423183723585306,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.500499999998563,5.520049618890537,-0.004313749762379405,0.039995638317571705,0.00017755832037703357,8.287939868287684e-05,-0.044344505180302064,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.550499999998535,5.565086068421509,-0.004344128104111176,0.039997198860884764,-6.558435295578054e-05,0.0001493315492947943,-0.0445104966814168,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.600499999998507,5.61011649825379,-0.004377417587395905,0.03999721690068541,-8.136602520469446e-05,0.00017937662704572464,-0.044731467808985154,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.6504999999984795,5.655152925424711,-0.004412032168139897,0.03999630349733098,0.0003101946930158325,0.00020695449617660452,-0.04437639076303313,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.700499999998452,5.700182474345322,-0.004441754297277681,0.03999769298856257,-8.55043793527302e-06,4.24273283679333e-05,-0.04407513958195478,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.750499999998424,5.745215158016744,-0.004470352865348798,0.03999752452688027,-1.549219159502103e-06,0.00013538541732259648,-0.04394922031862203,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.800499999998396,5.790242072281093,-0.004503333069483979,0.03999703182028562,-2.255227964422926e-05,0.00011399696175523372,-0.043785941782000286,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.850499999998369,5.835269622980556,-0.004540415221864208,0.039997205002735924,7.081601658313551e-05,-5.108761994182059e-06,-0.04430559719806388,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.900499999998341,5.8803108842281935,-0.004575272861068245,0.03999478862732529,-3.0522897472464635e-05,0.0003393818692885286,-0.04465560382717937,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
7.950499999998313,5.92533568678555,-0.0046077474697052085,0.039998358001941625,-9.36809701890974e-06,-1.659388080563829e-05,-0.044421282105269286,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.000499999998286,5.970371881623999,-0.004643781693607959,0.03999568496216393,-8.002988555479937e-05,3.364003035776003e-05,-0.0446833816705178,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.050499999998348,6.015407933453128,-0.004676784089442441,0.039995354860373505,4.213535294032052e-05,0.0002042594627656105,-0.04482458715315422,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.100499999998409,6.060446511931483,-0.004707668036393461,0.03999645302148338,-3.323450133263126e-05,0.0003856942755465916,-0.044255407060263104,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.15049999999847,6.10547671080654,-0.004749920815673781,0.039997182892757305,-2.4655540305423788e-05,8.877843414783874e-05,-0.044358178456241404,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.20049999999853,6.15050600162144,-0.004786401510044145,0.03999730135877966,-1.5744036524583465e-05,6.529361528806404e-05,-0.04457046132743937,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.250499999998592,6.195529303428354,-0.004824250169795888,0.03999770688741412,-7.707490265194887e-05,7.045927425652516e-05,-0.044436034483013885,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.300499999998653,6.240559579065474,-0.004862433685003877,0.03999705547490338,0.0001798609863918215,0.00017995077608284923,-0.04458061697060477,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.350499999998714,6.285595285352937,-0.004894826914755778,0.03999670397590713,5.781824246467817e-05,4.2066198203998787e-05,-0.044498799843777914,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.400499999998775,6.3306229632883175,-0.004927641678792395,0.03999527384790304,-0.00015092369013161453,-7.768741399254615e-05,-0.04448546257044797,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.450499999998836,6.375661740320636,-0.004963004562448029,0.03999697383766699,-6.283211821542039e-05,0.00011417247270789705,-0.044703277374580914,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.500499999998897,6.420691814891314,-0.004996860969025922,0.03999699122384502,-9.870519084330359e-05,0.00014271685268103855,-0.044820426719460155,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.550499999998959,6.465729041257688,-0.005035540835566039,0.03999483072337476,-0.00021233006813080652,-2.831611512425089e-05,-0.04494901435542296,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.60049999999902,6.510759858613617,-0.005070454973824203,0.039997209101699974,-1.1638671171337716e-05,6.727824146846415e-05,-0.04522761448179685,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.65049999999908,6.555783313991559,-0.005108474140418784,0.039994989927130124,0.0002518862848954541,2.333275791677136e-05,-0.045511568836486355,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.700499999999142,6.600813299288618,-0.005138543151118159,0.03999465924159966,-0.0001764764558010501,0.00010186258130217363,-0.04555904545402652,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.750499999999203,6.64584484719514,-0.005169038727152784,0.03999643301506748,-0.00014006554605368164,3.206963146978328e-05,-0.045420308762716535,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.800499999999264,6.690880934660111,-0.005203441481297563,0.03999682142914793,-2.8203246717659775e-05,9.783346634109543e-05,-0.04508796509470389,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.850499999999325,6.7359145880051035,-0.005234608912342576,0.03999667862985119,-3.091352896129679e-05,0.00011403297262936786,-0.045158583790921886,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.900499999999386,6.780950925997454,-0.005271444079875682,0.03999563138257989,2.494739118645097e-06,0.00021299704973507381,-0.04491331032791681,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
8.950499999999447,6.825985033493665,-0.005311975308585825,0.03999715581144667,-1.2745289185524727e-05,5.837945832004764e-05,-0.04529889481851526,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
9.000499999999509,6.87101895649806,-0.005349819961749636,0.0399956760054987,-0.00014203222208809019,9.844231140912695e-05,-0.04548652874705311,0.0,0.0,0.9,0.0,0.0,3.7500000000000004,0.0,0.0
