schema_id,run_id,artifact_path,artifact_type,writer_backend,output_mode,producer_script,artifact_hash,row_count,source_schema_id,source,unit_policy,evidence_level
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/collision_backend_comparison.csv,csv,python_csv,row_stream,code/collision_contact/generate_collision_contact_components.py,a5ede606715ab4aa8d06493f437d1fa9cefb945ff77cb24e059fc3b9aaf8737a,1,collision.backend_comparison.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/collision_contact_probe.csv,csv,python_csv,row_stream,code/collision_contact/generate_collision_contact_components.py,768d4c553b67810bf912667758c459f210fc7ef55db313df7321a4f3ffba02d0,721,collision.contact_probe.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/collision_event_timeline.csv,csv,python_csv,row_stream,code/collision_contact/generate_collision_contact_components.py,a0d2db4b201729fbb92d9aaf5a10b3f0c6db0248b2882a6e8a9951540217eb47,1,collision.event_timeline.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/collision_family_filter_map.csv,csv,python_csv,row_stream,code/collision_contact/generate_collision_contact_components.py,ace4bb77e4ae9846f6ccb877abe0396fe9e46f2107da34d4916734aa9608d8bf,2,collision.family_filter_map.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/collision_shape_manifest.csv,csv,python_csv,row_stream,code/collision_contact/generate_collision_contact_components.py,21061492a37e194981f4978467f40d2927d1d9fd5cae85e85fd42ef4c89b9f95,3,collision.shape_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/contact_callback_manifest.csv,csv,python_csv,row_stream,code/collision_contact/generate_collision_contact_components.py,1f798f7e5f08bf6d4e3b2bc24be9ff369f942d5d42b8895732822e91f8cd7722,2,collision.contact_callback_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/contact_container_manifest.csv,csv,python_csv,row_stream,code/collision_contact/generate_collision_contact_components.py,f105086eae6051b2bebe417a353c11c504829b2c121ca21630c2e5e705e7c438,1,collision.contact_container_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/contact_frame_debug_manifest.csv,csv,python_csv,row_stream,code/collision_contact/generate_collision_contact_components.py,864dd848516ec390d1a58c87dc208d7854fb076d608b76bd269c891d4cc53d18,1,collision.contact_frame_debug_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/contact_material_manifest.csv,csv,python_csv,row_stream,code/collision_contact/generate_collision_contact_components.py,59cdd2eae7818a31b3aec80ec5f0d8abe93ae74ddaf6c7f553e7571894125d34,1,collision.contact_material_manifest.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/contact_pair_material_policy.csv,csv,python_csv,row_stream,code/collision_contact/generate_collision_contact_components.py,5c1c82b5700c72f7f4fe534aeebbf8fe3e3cb348ca6dffcae6a5dae1a24d43a2,1,collision.contact_pair_material_policy.v1,deterministic_contact_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/data_visualization_control_log.csv,csv,python_csv,row_stream,code/data_visualization/generate_data_visualization_components.py,23ca21d6df3c4f701943b564cbce37561b3a1ea2685ecbb3d7629ef5f5ecd44d,151,data.control_log.v1,fallback_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/data_visualization_state_log.csv,csv,python_csv,row_stream,code/data_visualization/generate_data_visualization_components.py,3d4c53704cf7b0f2fa4e4ec0cbac9a462faabb0e95ade94a1cee62bd05e544a5,151,data.state_log.v1,fallback_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/environment_terrain_contact_probe.csv,csv,python_csv,row_stream,code/environment_terrain/generate_environment_terrain_components.py,b13fcf024b727d809b553687eaf5e2534eafb67612f2cea773e93315c082eeb3,201,terrain.contact_probe.v1,fallback_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/environment_terrain_height_friction_sinkage.csv,csv,python_csv,row_stream,code/environment_terrain/generate_environment_terrain_components.py,c0c2172739b2c9abd4b62efeda40db798e42b14a2394d62f6c6e920b908dabc2,2501,terrain.surface_probe.v1,fallback_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/rover_vehicle_chassis_probe.csv,csv,python_csv,row_stream,code/rover_vehicle/generate_rover_vehicle_components.py,6f6bf9785b9d05cb723512cffe519dba064f4bd19097e1ac97d99f0a7a6c295c,201,rover.chassis_smoke_probe.v0,deterministic_chassis_probe_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/scm_soil_profile_manifest.csv,csv,python_csv,row_stream,code/environment_terrain/generate_environment_terrain_components.py,ef30fc7074acceb0f3a907090a34934f3693a3f8ceb5390185ca8e1805ea3e5d,1,terrain.scm_soil_profile_manifest.v1,fallback_terrain_schema_only_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/sensor_filter_catalog.csv,csv,python_csv,row_stream,code/data_visualization/generate_data_visualization_components.py,63cf221f6359f0f169d5c527941233a738fb27582b1c307521435c33e710c1b9,11,sensor.filter_catalog.v1,fallback_sensor_schema_only_pychrono_sensor_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/sensor_manifest.csv,csv,python_csv,row_stream,code/data_visualization/generate_data_visualization_components.py,0ad11b911feedf723b3c7310db0b9ad2acb0884b4bd8d35ffdcff8eecf17f754,4,sensor.output_manifest.v1,fallback_sensor_schema_only_pychrono_sensor_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/sensor_timing_schedule.csv,csv,python_csv,row_stream,code/data_visualization/generate_data_visualization_components.py,f71fcceaf59565ff484897ba9b868ff6ab6ead99fbd4cf8a1f4148eb4e006286,24,sensor.timing_schedule.v1,fallback_sensor_schema_only_pychrono_sensor_unavailable,SI units in column names where applicable,fallback_schema_probe
data.writer_backend_manifest.v1,component_catalog_fallback_bundle,outputs/csv/terrain_material_region_map.csv,csv,python_csv,row_stream,code/environment_terrain/generate_environment_terrain_components.py,ba2bbf21ac20327d2c93b25a67a84211e14d5a56e499cd85ff761074727f123a,3,terrain.material_region_map.v1,fallback_terrain_schema_only_pychrono_unavailable,SI units in column names where applicable,fallback_schema_probe
