time,x,y,z,yaw_deg,target_x,target_y,speed_cmd,steering_cmd,turn_mode,wheel_omega,steer_left_deg,steer_right_deg
0.0005,-5.3517440946425365e-09,-4.047685165554717e-12,0.5399975476988909,1.3987739442288574e-09,1.4,0.0,0.9,0.0,0.0,0.0025,0.0,0.0
0.05000000000000004,-4.728135173362604e-05,-4.371913516096113e-11,0.5276128266636815,4.910578814166218e-09,1.4,0.0,0.9,-7.892997417976627e-11,0.0,0.2500000000000006,0.0,0.0
0.10000000000000007,-0.00018829773412062752,-4.369596694356071e-11,0.49069649091728135,4.916481891559262e-09,1.4,0.0,0.9,-7.916917687977972e-11,0.0,0.500000000000002,0.0,0.0
0.1500000000000001,-0.00042299875917888036,-4.374459503493507e-11,0.429250718508841,4.934393612007068e-09,1.4,0.0,0.9,-7.957792199285396e-11,0.0,0.7499999999999981,0.0,0.0
0.20000000000000015,-0.000751362644799241,-4.381304205048444e-11,0.34327504574811524,4.959363490532229e-09,1.4,0.0,0.9,-8.014807349381109e-11,0.0,0.9999999999999938,0.0,0.0
0.25000000000000017,-0.0011733567088161986,-4.3900650099493574e-11,0.23276882394903545,4.9912329289890504e-09,1.4,0.0,0.9,-8.087584788970484e-11,0.0,1.2499999999999893,0.0,0.0
0.3000000000000002,-0.001688935279040547,-4.400779002876494e-11,0.0977312195391851,5.02980767974556e-09,1.4,0.0,0.9,-8.175655178359118e-11,0.0,1.499999999999985,0.0,0.0
0.35000000000000026,0.040274095336101656,0.008349974149525728,0.07055529500909045,-0.06249876631024366,1.4,0.0,0.9,-0.007326758554765687,0.0,1.7499999999999805,-0.204820490728464,-0.20547904535237915
0.4000000000000003,0.07331801056655733,0.014098857098073379,0.05738605743376966,-0.3937702804058974,1.4,0.0,0.9,-0.005437256505373355,0.0,1.9999999999999762,-0.15206205631024677,-0.15242473999344766
0.45000000000000034,0.09852032787105416,0.014089653974270006,0.05735970557706234,-0.3726680081834405,1.4,0.0,0.9,-0.0062654227013957745,0.0,2.249999999999987,-0.17519137583017835,-0.17567295644182063
